,Cumulative theta,Abs Cumulative Theta,Cumulative logfc,Abs Cumulative logfc,tau2,pval.adj,theta_GSE143752,theta_GSE186835,theta_GSE287994,theta_GSE99511,sp2_GSE143752,sp2_GSE186835,sp2_GSE287994,sp2_GSE99511
CHST2,1.580635,1.580635,0.233084,0.233084,0.426943,0.008051,2.570026,1.020976,1.174028,0.907096,0.090323,0.743495,0.433191,0.273314
VPS33B,1.466623,1.466623,0.079978,0.079978,0.000000,0.000000,0.042819,-0.226595,-0.033543,1.591968,1.860213,2.651892,6.087029,0.075951
LIN9,-1.425328,1.425328,0.108074,0.108074,0.331674,0.000000,0.043040,-0.690203,-0.163291,-2.108525,2.500765,0.350864,6.544816,0.052364
GLE1,1.406535,1.406535,-0.109706,0.109706,0.000000,0.000000,-0.044061,0.245648,-0.014969,1.509814,2.479723,2.843546,4.851267,0.080294
KCNC4,-1.339771,1.339771,-0.331855,0.331855,0.000000,0.000000,-0.156354,-1.191307,0.090683,-1.529870,2.113801,0.091171,2.135400,0.066511
ZNF689,-1.318591,1.318591,-0.102926,0.102926,0.031436,0.000000,-0.132988,-0.175645,-0.058358,-1.484126,0.770788,3.456086,3.097017,0.043519
GLUD1,1.311905,1.311905,0.053232,0.053232,0.181009,0.000000,0.714561,-0.077840,1.751559,1.491775,0.074192,3.058657,0.044063,0.039349
C2orf29,1.287278,1.287278,-0.041943,0.041943,0.000000,0.000027,-0.023361,-0.205937,-0.160007,1.442379,1.788090,2.165175,4.919404,0.090342
CCDC39,1.276336,1.276336,0.330311,0.330311,0.000000,0.000028,1.072838,0.358715,0.474166,1.583551,0.306628,2.464587,1.364587,0.189190
C20orf112,1.269138,1.269138,0.330303,0.330303,0.000000,0.000012,0.062908,-0.014739,-0.053192,1.450210,5.229120,43.552168,6.943144,0.401840
SEC61A2,1.222420,1.222420,0.165619,0.165619,0.141824,0.000000,0.240491,-0.034724,0.426485,1.785984,0.685859,5.419014,1.291422,0.144573
PMPCB,1.221959,1.221959,0.624988,0.624988,0.000000,0.000036,0.127491,-0.079168,-0.042460,1.397999,4.882205,1.814823,3.747377,0.137689
FAM73B,1.213608,1.213608,0.102129,0.102129,0.000000,0.000000,0.069125,-0.167295,0.041550,1.392120,1.471417,5.477714,1.881846,0.108010
C9orf37,-1.198912,1.198912,-0.114855,0.114855,0.308997,0.000000,-0.057245,0.281009,-0.149892,-1.915365,1.998168,6.678674,0.837502,0.132821
ZNF710,-1.196213,1.196213,0.173845,0.173845,0.000000,0.000012,0.077409,-0.032380,-0.042285,-1.322934,2.236619,10.261226,2.573770,0.112023
HEG1,-1.177554,1.177554,0.090508,0.090508,0.025661,0.000001,0.062145,-0.092188,0.134898,-1.316481,1.450460,2.652570,1.389484,0.038286
PPARGC1B,1.169111,1.169111,0.442213,0.442213,0.000000,0.000251,0.109911,0.331632,0.009785,1.409659,4.006932,0.705010,8.316814,0.151132
LOC728323,1.166766,1.166766,0.191926,0.191926,0.000000,0.000000,0.173273,0.001489,-0.005491,1.427963,1.103131,5.946609,2.188836,0.160035
ZCCHC9,1.165220,1.165220,0.224958,0.224958,0.166139,0.000000,0.215075,-0.099750,-0.076641,1.632124,1.041685,3.358590,1.513066,0.081543
RBMS1,1.160853,1.160853,0.134622,0.134622,0.582489,0.000233,0.974819,0.067516,2.293632,0.530362,0.137536,1.034767,0.130375,0.380624
POGK,1.148731,1.148731,0.058096,0.058096,0.579290,0.000625,0.710759,1.190392,2.220068,0.402585,0.081405,0.093608,0.037756,0.077964
INPP1,1.141940,1.141940,0.028606,0.028606,0.132943,0.007383,0.724072,-0.167697,1.157214,1.647360,0.039346,2.858090,0.086822,0.047969
RNU5D,1.130755,1.130755,0.224958,0.224958,0.219351,0.000000,0.215075,-0.046709,-0.067936,1.681611,1.041685,3.266621,1.332589,0.080632
RNU5E,1.130755,1.130755,0.224958,0.224958,0.219351,0.000000,0.215075,-0.046709,-0.067936,1.681611,1.041685,3.266621,1.332589,0.080632
ENPP4,1.121655,1.121655,0.449427,0.449427,0.000000,0.001810,0.404655,0.111110,0.320896,1.341586,1.106107,6.364811,2.264698,0.189502
ZSCAN12,1.117382,1.117382,0.291813,0.291813,0.000000,0.005403,1.329443,0.849914,0.699384,1.020369,0.218605,0.846386,1.150335,0.333735
MTCP1,1.117224,1.117224,0.050536,0.050536,0.352228,0.007310,0.506008,0.590007,1.505350,1.845613,0.099464,0.094811,0.097718,0.083955
SNORD59A,1.114404,1.114404,0.134067,0.134067,0.222880,0.001436,0.649970,1.908465,0.758457,0.919249,0.205425,0.081973,0.212609,0.054715
DUSP16,1.113429,1.113429,0.342196,0.342196,0.000000,0.000098,0.086509,-0.131190,0.076435,1.222979,3.939467,10.876122,4.724850,0.184245
KCNA3,1.103903,1.103903,0.461364,0.461364,0.000000,0.008045,1.212248,0.779415,0.883911,1.118875,0.379032,1.867775,1.604232,0.598563
FAM35A,1.101591,1.101591,0.053232,0.053232,0.004300,0.000000,0.714561,-0.094093,1.233702,1.183131,0.074192,2.908768,0.036101,0.035066
C5orf62,-1.091667,1.091667,-0.108860,0.108860,0.000000,0.000017,-0.007414,-0.216781,0.056571,-1.125798,14.622802,2.284709,19.783961,0.066257
GPATCH8,-1.090932,1.090932,0.059063,0.059063,0.516303,0.000000,0.058594,-0.135948,-0.254476,-2.006191,1.003879,4.456018,0.841078,0.068727
DTWD2,-1.085376,1.085376,-0.038134,0.038134,0.000000,0.000000,-1.119794,-0.554169,-1.239236,-0.953062,0.033915,0.347351,0.030940,0.029677
SLC39A3,1.080845,1.080845,0.094029,0.094029,0.000000,0.001419,1.314873,0.792235,0.872196,0.568558,0.071220,1.855067,0.194837,0.248742
PRKAG2,-1.078816,1.078816,-0.174671,0.174671,0.165832,0.000000,-0.296127,-0.160443,-0.167984,-1.610842,0.587442,1.487237,1.421049,0.079502
CLCN2,1.078445,1.078445,-0.068960,0.068960,0.004927,0.000002,-0.069739,0.115873,0.288349,1.203744,0.984790,0.944117,1.720227,0.042672
ARMC1,1.071078,1.071078,0.039604,0.039604,0.000000,0.000000,1.005284,0.293344,1.143684,1.227722,0.039235,0.333736,0.064444,0.054378
USP8,1.070887,1.070887,0.098894,0.098894,0.220350,0.000211,1.147117,-0.353919,1.192172,1.405390,0.085859,0.573947,0.062158,0.079511
ALCAM,1.058137,1.058137,0.060404,0.060404,0.130302,0.000000,1.551591,-0.012387,0.967733,0.783086,0.038771,0.877618,0.059837,0.068866
PQLC1,-1.055436,1.055436,-0.153992,0.153992,0.000000,0.000004,-0.128260,-0.262132,0.011061,-1.294502,1.195723,1.992281,1.417354,0.124122
SMC5,1.050177,1.050177,0.029064,0.029064,0.000000,0.000014,0.018574,-0.198446,0.018353,1.124834,1.558356,4.184367,2.832678,0.056360
